Category,Critical active substance ,Prescription type,Category of use,Species,Year,Number of animal treatments
Farm animals,All types of active ingredients,All prescription types,Cow-calf calves,All species,2022,19595
Farm animals,No,Single treatments farm animals,Laying and parent birds,All species,2021,1
All animals,No,Oral group treatments,Rabbits,All species,2022,134362
Farm animals,No,Oral group treatments,Laying and parent birds,All species,2021,91846
Farm animals,All types of active ingredients,Single treatments farm animals,Cow-calf calves,All species,2022,19460
Farm animals,Yes,All prescription types,Laying and parent birds,All species,2021,10421
Farm animals,All types of active ingredients,Oral group treatments,Cow-calf calves,All species,2022,135
Farm animals,No,All prescription types,Suckler cows,All species,2022,25470
Farm animals,Yes,Single treatments farm animals,Laying and parent birds,All species,2021,1
All animals,Yes,All prescription types,Rabbits,All species,2022,2124
Farm animals,No,Single treatments farm animals,Suckler cows,All species,2022,25470
Farm animals,Yes,Oral group treatments,Laying and parent birds,All species,2021,10420
All animals,Yes,Single treatments farm animals,Rabbits,All species,2022,124
Farm animals,Yes,All prescription types,Suckler cows,All species,2022,1634
Farm animals,All types of active ingredients,All prescription types,Laying and parent birds,All species,2021,102268
Farm animals,Yes,Single treatments farm animals,Suckler cows,All species,2022,1634
All animals,Yes,Oral group treatments,Rabbits,All species,2022,2000
Farm animals,All types of active ingredients,Single treatments farm animals,Laying and parent birds,All species,2021,2
Farm animals,All types of active ingredients,Oral group treatments,Laying and parent birds,All species,2021,102266
Farm animals,All types of active ingredients,All prescription types,Suckler cows,All species,2022,27104
Farm animals,No,All prescription types,Laying hens,All species,2021,240210
Farm animals,All types of active ingredients,Single treatments farm animals,Suckler cows,All species,2022,27104
All animals,All types of active ingredients,All prescription types,Rabbits,All species,2022,136502
Farm animals,No,Single treatments farm animals,Laying hens,All species,2021,1
Farm animals,No,Oral group treatments,Laying hens,All species,2021,240209
All animals,All types of active ingredients,Single treatments farm animals,Rabbits,All species,2022,140
Farm animals,Yes,All prescription types,Laying hens,All species,2021,25889
Farm animals,Yes,Single treatments farm animals,Laying hens,All species,2021,4
All animals,All types of active ingredients,Oral group treatments,Rabbits,All species,2022,136362
Farm animals,Yes,Oral group treatments,Laying hens,All species,2021,25885
All animals,No,All prescription types,Cats,All species,2022,214726
Farm animals,All types of active ingredients,All prescription types,Laying hens,All species,2021,266099
All animals,No,Single treatments companion animals,Cats,All species,2022,214726
Farm animals,All types of active ingredients,Single treatments farm animals,Laying hens,All species,2021,5
All animals,Yes,All prescription types,Cats,All species,2022,100639
Farm animals,All types of active ingredients,Oral group treatments,Laying hens,All species,2021,266094
Farm animals,No,All prescription types,Cattle nCU,All species,2022,113112
Farm animals,No,All prescription types,Fattening calves and cattle,All species,2021,243167
All animals,Yes,Single treatments companion animals,Cats,All species,2022,100639
All animals,All types of active ingredients,All prescription types,Cats,All species,2022,315365
All animals,All types of active ingredients,Single treatments companion animals,Cats,All species,2022,315365
Farm animals,No,Single treatments farm animals,Fattening calves and cattle,All species,2021,32992
Farm animals,No,Oral group treatments,Fattening calves and cattle,All species,2021,210175
Farm animals,No,Single treatments farm animals,Cattle nCU,All species,2022,112567
All animals,No,All prescription types,Laying and parent birds,All species,2022,147356
Farm animals,Yes,All prescription types,Fattening calves and cattle,All species,2021,81795
Farm animals,Yes,Single treatments farm animals,Fattening calves and cattle,All species,2021,27578
All animals,No,Single treatments farm animals,Laying and parent birds,All species,2022,1
Farm animals,No,Oral group treatments,Cattle nCU,All species,2022,545
Farm animals,Yes,Oral group treatments,Fattening calves and cattle,All species,2021,54217
All animals,No,Oral group treatments,Laying and parent birds,All species,2022,147355
Farm animals,All types of active ingredients,All prescription types,Fattening calves and cattle,All species,2021,324962
Farm animals,Yes,All prescription types,Cattle nCU,All species,2022,14236
All animals,Yes,All prescription types,Laying and parent birds,All species,2022,5047
Farm animals,All types of active ingredients,Single treatments farm animals,Fattening calves and cattle,All species,2021,60570
Farm animals,All types of active ingredients,Oral group treatments,Fattening calves and cattle,All species,2021,264392
Farm animals,Yes,Single treatments farm animals,Cattle nCU,All species,2022,13807
All animals,Yes,Single treatments farm animals,Laying and parent birds,All species,2022,2
Farm animals,No,All prescription types,Fattening broilers,All species,2021,4950867
Farm animals,No,Oral group treatments,Fattening broilers,All species,2021,4950867
Farm animals,Yes,Oral group treatments,Cattle nCU,All species,2022,429
Farm animals,Yes,All prescription types,Fattening broilers,All species,2021,6067803
All animals,Yes,Oral group treatments,Laying and parent birds,All species,2022,5045
Farm animals,Yes,Oral group treatments,Fattening broilers,All species,2021,6067803
Farm animals,All types of active ingredients,All prescription types,Cattle nCU,All species,2022,127348
All animals,All types of active ingredients,All prescription types,Laying and parent birds,All species,2022,152403
Farm animals,All types of active ingredients,All prescription types,Fattening broilers,All species,2021,11018670
All animals,All types of active ingredients,Single treatments farm animals,Laying and parent birds,All species,2022,3
Farm animals,All types of active ingredients,Single treatments farm animals,Cattle nCU,All species,2022,126374
Farm animals,All types of active ingredients,Oral group treatments,Fattening broilers,All species,2021,11018670
All animals,All types of active ingredients,Oral group treatments,Laying and parent birds,All species,2022,152400
Farm animals,All types of active ingredients,Oral group treatments,Cattle nCU,All species,2022,974
Farm animals,No,All prescription types,Fattening pigs,All species,2021,87796
Farm animals,No,Single treatments farm animals,Fattening pigs,All species,2021,2534
Farm animals,No,All prescription types,Suckling and weaned piglets,All species,2022,103363
Farm animals,No,Oral group treatments,Fattening pigs,All species,2021,85262
All animals,No,All prescription types,Laying hens,All species,2022,298405
Farm animals,Yes,All prescription types,Fattening pigs,All species,2021,11701
Farm animals,No,Single treatments farm animals,Suckling and weaned piglets,All species,2022,868
Farm animals,Yes,Single treatments farm animals,Fattening pigs,All species,2021,363
All animals,No,Single treatments farm animals,Laying hens,All species,2022,5
Farm animals,No,Oral group treatments,Suckling and weaned piglets,All species,2022,102495
All animals,No,Oral group treatments,Laying hens,All species,2022,298400
Farm animals,Yes,Oral group treatments,Fattening pigs,All species,2021,11338
Farm animals,Yes,All prescription types,Suckling and weaned piglets,All species,2022,16620
Farm animals,All types of active ingredients,All prescription types,Fattening pigs,All species,2021,99497
All animals,Yes,All prescription types,Laying hens,All species,2022,13430
Farm animals,All types of active ingredients,Single treatments farm animals,Fattening pigs,All species,2021,2897
Farm animals,Yes,Single treatments farm animals,Suckling and weaned piglets,All species,2022,4099
All animals,Yes,Single treatments farm animals,Laying hens,All species,2022,10
Farm animals,All types of active ingredients,Oral group treatments,Fattening pigs,All species,2021,96600
Farm animals,Yes,Oral group treatments,Suckling and weaned piglets,All species,2022,12521
Farm animals,No,All prescription types,Fattening turkeys,All species,2021,6861
All animals,Yes,Oral group treatments,Laying hens,All species,2022,13420
Farm animals,All types of active ingredients,All prescription types,Suckling and weaned piglets,All species,2022,119983
Farm animals,No,Single treatments farm animals,Fattening turkeys,All species,2021,1
Farm animals,All types of active ingredients,Single treatments farm animals,Suckling and weaned piglets,All species,2022,4967
All animals,All types of active ingredients,All prescription types,Laying hens,All species,2022,311835
Farm animals,No,Oral group treatments,Fattening turkeys,All species,2021,6860
Farm animals,Yes,All prescription types,Fattening turkeys,All species,2021,1309
Farm animals,All types of active ingredients,Oral group treatments,Suckling and weaned piglets,All species,2022,115016
All animals,All types of active ingredients,Single treatments farm animals,Laying hens,All species,2022,15
Farm animals,Yes,Oral group treatments,Fattening turkeys,All species,2021,1309
Farm animals,All types of active ingredients,All prescription types,Fattening turkeys,All species,2021,8170
Farm animals,All types of active ingredients,Single treatments farm animals,Fattening turkeys,All species,2021,1
Farm animals,All types of active ingredients,Oral group treatments,Fattening turkeys,All species,2021,8169
Farm animals,No,All prescription types,Sheep,All species,2022,14265
All animals,All types of active ingredients,Oral group treatments,Laying hens,All species,2022,311820
Farm animals,No,All prescription types,Dairy cows,All species,2021,359152
Farm animals,No,Single treatments farm animals,Sheep,All species,2022,13551
Farm animals,No,Single treatments farm animals,Dairy cows,All species,2021,359102
Farm animals,No,Oral group treatments,Sheep,All species,2022,714
All animals,No,All prescription types,Fattening calves and cattle,All species,2022,268499
Farm animals,No,Oral group treatments,Dairy cows,All species,2021,50
All animals,No,Single treatments farm animals,Fattening calves and cattle,All species,2022,36305
Farm animals,Yes,All prescription types,Dairy cows,All species,2021,30497
All animals,No,Oral group treatments,Fattening calves and cattle,All species,2022,232194
Farm animals,Yes,Single treatments farm animals,Dairy cows,All species,2021,30497
Farm animals,Yes,All prescription types,Sheep,All species,2022,1364
Farm animals,All types of active ingredients,All prescription types,Dairy cows,All species,2021,389649
All animals,Yes,All prescription types,Fattening calves and cattle,All species,2022,66627
Farm animals,Yes,Single treatments farm animals,Sheep,All species,2022,1364
All animals,Yes,Single treatments farm animals,Fattening calves and cattle,All species,2022,24968
Farm animals,All types of active ingredients,Single treatments farm animals,Dairy cows,All species,2021,389599
Farm animals,All types of active ingredients,All prescription types,Sheep,All species,2022,15629
All animals,Yes,Oral group treatments,Fattening calves and cattle,All species,2022,41659
Farm animals,All types of active ingredients,Oral group treatments,Dairy cows,All species,2021,50
All animals,All types of active ingredients,All prescription types,Fattening calves and cattle,All species,2022,335126
Farm animals,No,All prescription types,Cow-calf calves,All species,2021,14965
Farm animals,All types of active ingredients,Single treatments farm animals,Sheep,All species,2022,14915
All animals,All types of active ingredients,Single treatments farm animals,Fattening calves and cattle,All species,2022,61273
Farm animals,No,Single treatments farm animals,Cow-calf calves,All species,2021,14918
All animals,All types of active ingredients,Oral group treatments,Fattening calves and cattle,All species,2022,273853
Farm animals,No,Oral group treatments,Cow-calf calves,All species,2021,47
Farm animals,All types of active ingredients,Oral group treatments,Sheep,All species,2022,714
All animals,No,All prescription types,Fattening broilers,All species,2022,5534953
Farm animals,Yes,All prescription types,Cow-calf calves,All species,2021,3236
Farm animals,Yes,Single treatments farm animals,Cow-calf calves,All species,2021,3216
All animals,No,Oral group treatments,Fattening broilers,All species,2022,5534953
Farm animals,Yes,Oral group treatments,Cow-calf calves,All species,2021,20
All animals,Yes,All prescription types,Fattening broilers,All species,2022,1914294
Farm animals,All types of active ingredients,All prescription types,Cow-calf calves,All species,2021,18201
All animals,Yes,Single treatments farm animals,Fattening broilers,All species,2022,1
All animals,Yes,Oral group treatments,Fattening broilers,All species,2022,1914293
Farm animals,All types of active ingredients,Single treatments farm animals,Cow-calf calves,All species,2021,18134
All animals,All types of active ingredients,All prescription types,Fattening broilers,All species,2022,7449247
Farm animals,All types of active ingredients,Oral group treatments,Cow-calf calves,All species,2021,67
All animals,All types of active ingredients,Single treatments farm animals,Fattening broilers,All species,2022,1
Farm animals,No,All prescription types,Suckler cows,All species,2021,23669
All animals,All types of active ingredients,Oral group treatments,Fattening broilers,All species,2022,7449246
Farm animals,No,Single treatments farm animals,Suckler cows,All species,2021,23669
Farm animals,Yes,All prescription types,Suckler cows,All species,2021,1519
All animals,No,All prescription types,Fattening pigs,All species,2022,61545
Farm animals,Yes,Single treatments farm animals,Suckler cows,All species,2021,1519
Farm animals,All types of active ingredients,All prescription types,Suckler cows,All species,2021,25188
All animals,No,Single treatments farm animals,Fattening pigs,All species,2022,4064
Farm animals,All types of active ingredients,Single treatments farm animals,Suckler cows,All species,2021,25188
All animals,No,Oral group treatments,Fattening pigs,All species,2022,57481
All animals,Yes,All prescription types,Fattening pigs,All species,2022,4991
All animals,Yes,Single treatments farm animals,Fattening pigs,All species,2022,248
All animals,Yes,Oral group treatments,Fattening pigs,All species,2022,4743
All animals,All types of active ingredients,All prescription types,Fattening pigs,All species,2022,66536
All animals,All types of active ingredients,Single treatments farm animals,Fattening pigs,All species,2022,4312
All animals,All types of active ingredients,Oral group treatments,Fattening pigs,All species,2022,62224
Farm animals,No,All prescription types,Cattle nCU,All species,2021,118398
All animals,No,All prescription types,Fattening turkeys,All species,2022,17651
Farm animals,No,All prescription types,Pigs nCU,All species,2022,6311
Farm animals,No,Single treatments farm animals,Cattle nCU,All species,2021,118029
Farm animals,No,Oral group treatments,Cattle nCU,All species,2021,369
All animals,No,Single treatments farm animals,Fattening turkeys,All species,2022,1
Farm animals,No,Single treatments farm animals,Pigs nCU,All species,2022,1452
Farm animals,Yes,All prescription types,Cattle nCU,All species,2021,15728
All animals,No,Oral group treatments,Fattening turkeys,All species,2022,17650
Farm animals,No,Oral group treatments,Pigs nCU,All species,2022,4859
Farm animals,Yes,Single treatments farm animals,Cattle nCU,All species,2021,15708
Farm animals,Yes,All prescription types,Pigs nCU,All species,2022,3139
All animals,Yes,All prescription types,Fattening turkeys,All species,2022,1200
Farm animals,Yes,Oral group treatments,Cattle nCU,All species,2021,20
All animals,Yes,Oral group treatments,Fattening turkeys,All species,2022,1200
Farm animals,Yes,Single treatments farm animals,Pigs nCU,All species,2022,480
All animals,All types of active ingredients,All prescription types,Fattening turkeys,All species,2022,18851
Farm animals,All types of active ingredients,All prescription types,Cattle nCU,All species,2021,134126
Farm animals,Yes,Oral group treatments,Pigs nCU,All species,2022,2659
All animals,All types of active ingredients,Single treatments farm animals,Fattening turkeys,All species,2022,1
Farm animals,All types of active ingredients,All prescription types,Pigs nCU,All species,2022,9450
All animals,All types of active ingredients,Oral group treatments,Fattening turkeys,All species,2022,18850
Farm animals,All types of active ingredients,Single treatments farm animals,Cattle nCU,All species,2021,133737
Farm animals,All types of active ingredients,Single treatments farm animals,Pigs nCU,All species,2022,1932
Farm animals,All types of active ingredients,Oral group treatments,Pigs nCU,All species,2022,7518
All animals,No,All prescription types,Dairy cows,All species,2022,378326
Farm animals,All types of active ingredients,Oral group treatments,Cattle nCU,All species,2021,389
Farm animals,No,All prescription types,Suckling and weaned piglets,All species,2021,151699
All animals,No,Single treatments farm animals,Dairy cows,All species,2022,378326
Farm animals,No,Single treatments farm animals,Suckling and weaned piglets,All species,2021,1030
All animals,Yes,All prescription types,Dairy cows,All species,2022,29338
Farm animals,No,Oral group treatments,Suckling and weaned piglets,All species,2021,150669
All animals,Yes,Single treatments farm animals,Dairy cows,All species,2022,29295
Farm animals,Yes,All prescription types,Suckling and weaned piglets,All species,2021,23576
Farm animals,Yes,Single treatments farm animals,Suckling and weaned piglets,All species,2021,1696
All animals,Yes,Oral group treatments,Dairy cows,All species,2022,43
Farm animals,Yes,Oral group treatments,Suckling and weaned piglets,All species,2021,21880
All animals,All types of active ingredients,All prescription types,Dairy cows,All species,2022,407664
Farm animals,All types of active ingredients,All prescription types,Suckling and weaned piglets,All species,2021,175275
All animals,All types of active ingredients,Single treatments farm animals,Dairy cows,All species,2022,407621
Farm animals,All types of active ingredients,Single treatments farm animals,Suckling and weaned piglets,All species,2021,2726
All animals,All types of active ingredients,Oral group treatments,Dairy cows,All species,2022,43
Farm animals,No,All prescription types,Goats,All species,2022,11803
All animals,No,All prescription types,Cow-calf calves,All species,2022,16068
Farm animals,All types of active ingredients,Oral group treatments,Suckling and weaned piglets,All species,2021,172549
Farm animals,No,Single treatments farm animals,Goats,All species,2022,7469
Farm animals,No,All prescription types,Sheep,All species,2021,14014
Farm animals,No,Oral group treatments,Goats,All species,2022,4334
All animals,No,Single treatments farm animals,Cow-calf calves,All species,2022,15933
Farm animals,No,Single treatments farm animals,Sheep,All species,2021,13354
All animals,No,Oral group treatments,Cow-calf calves,All species,2022,135
Farm animals,No,Oral group treatments,Sheep,All species,2021,660
Farm animals,Yes,All prescription types,Goats,All species,2022,2480
All animals,Yes,All prescription types,Cow-calf calves,All species,2022,3527
Farm animals,Yes,All prescription types,Sheep,All species,2021,1338
All animals,Yes,Single treatments farm animals,Cow-calf calves,All species,2022,3527
Farm animals,Yes,Single treatments farm animals,Goats,All species,2022,719
Farm animals,Yes,Single treatments farm animals,Sheep,All species,2021,1338
All animals,All types of active ingredients,All prescription types,Cow-calf calves,All species,2022,19595
Farm animals,Yes,Oral group treatments,Goats,All species,2022,1761
Farm animals,All types of active ingredients,All prescription types,Sheep,All species,2021,15352
All animals,All types of active ingredients,Single treatments farm animals,Cow-calf calves,All species,2022,19460
Farm animals,All types of active ingredients,Single treatments farm animals,Sheep,All species,2021,14692
Farm animals,All types of active ingredients,All prescription types,Goats,All species,2022,14283
Farm animals,All types of active ingredients,Oral group treatments,Sheep,All species,2021,660
Farm animals,All types of active ingredients,Single treatments farm animals,Goats,All species,2022,8188
Farm animals,All types of active ingredients,Oral group treatments,Goats,All species,2022,6095
All animals,All types of active ingredients,Oral group treatments,Cow-calf calves,All species,2022,135
All animals,No,All prescription types,Suckler cows,All species,2022,25470
All animals,No,Single treatments farm animals,Suckler cows,All species,2022,25470
All animals,All types of active ingredients,Oral group treatments,Rearing cattle,All species,2024,633
All animals,Yes,All prescription types,Suckler cows,All species,2022,1634
All animals,No,All prescription types,Equids,All species,2024,21734
All animals,Yes,Single treatments farm animals,Suckler cows,All species,2022,1634
All animals,All types of active ingredients,All prescription types,Suckler cows,All species,2022,27104
All animals,No,Single treatments companion animals,Equids,All species,2024,21734
All animals,Yes,All prescription types,Equids,All species,2024,1101
All animals,All types of active ingredients,Single treatments farm animals,Suckler cows,All species,2022,27104
All animals,Yes,Single treatments companion animals,Equids,All species,2024,1101
All animals,All types of active ingredients,All prescription types,Equids,All species,2024,22835
All animals,All types of active ingredients,Single treatments companion animals,Equids,All species,2024,22835
Farm animals,No,All prescription types,Breeding sows and boars,All species,2022,2164
All animals,No,All prescription types,Fish,All species,2024,5916760
Farm animals,No,Single treatments farm animals,Breeding sows and boars,All species,2022,912
Farm animals,No,All prescription types,Pigs nCU,All species,2021,8929
Farm animals,No,Single treatments farm animals,Pigs nCU,All species,2021,1259
All animals,No,Single treatments farm animals,Fish,All species,2024,5550
Farm animals,No,Oral group treatments,Breeding sows and boars,All species,2022,1252
Farm animals,No,Oral group treatments,Pigs nCU,All species,2021,7670
Farm animals,Yes,All prescription types,Breeding sows and boars,All species,2022,596
All animals,No,Oral group treatments,Fish,All species,2024,5911210
Farm animals,Yes,All prescription types,Pigs nCU,All species,2021,2227
All animals,No,All prescription types,Cattle nCU,All species,2022,113112
All animals,All types of active ingredients,All prescription types,Fish,All species,2024,5916760
Farm animals,Yes,Single treatments farm animals,Breeding sows and boars,All species,2022,595
All animals,No,Single treatments farm animals,Cattle nCU,All species,2022,112567
All animals,All types of active ingredients,Single treatments farm animals,Fish,All species,2024,5550
Farm animals,Yes,Single treatments farm animals,Pigs nCU,All species,2021,478
All animals,No,Oral group treatments,Cattle nCU,All species,2022,545
Farm animals,Yes,Oral group treatments,Breeding sows and boars,All species,2022,1
All animals,All types of active ingredients,Oral group treatments,Fish,All species,2024,5911210
Farm animals,Yes,Oral group treatments,Pigs nCU,All species,2021,1749
All animals,Yes,All prescription types,Cattle nCU,All species,2022,14236
Farm animals,All types of active ingredients,All prescription types,Pigs nCU,All species,2021,11156
Farm animals,All types of active ingredients,All prescription types,Breeding sows and boars,All species,2022,2760
All animals,Yes,Single treatments farm animals,Cattle nCU,All species,2022,13807
Farm animals,All types of active ingredients,Single treatments farm animals,Pigs nCU,All species,2021,1737
All animals,Yes,Oral group treatments,Cattle nCU,All species,2022,429
Farm animals,All types of active ingredients,Single treatments farm animals,Breeding sows and boars,All species,2022,1507
Farm animals,All types of active ingredients,Oral group treatments,Pigs nCU,All species,2021,9419
All animals,All types of active ingredients,All prescription types,Cattle nCU,All species,2022,127348
Farm animals,All types of active ingredients,Oral group treatments,Breeding sows and boars,All species,2022,1253
Farm animals,No,All prescription types,All categories of use,Fish,2022,5349460
All animals,All types of active ingredients,Single treatments farm animals,Cattle nCU,All species,2022,126374
All animals,All types of active ingredients,Oral group treatments,Cattle nCU,All species,2022,974
Farm animals,No,Single treatments farm animals,All categories of use,Fish,2022,64000
All animals,No,All prescription types,Suckling and weaned piglets,All species,2022,103363
All animals,No,Single treatments farm animals,Suckling and weaned piglets,All species,2022,868
Farm animals,No,Oral group treatments,All categories of use,Fish,2022,5285460
All animals,No,Oral group treatments,Suckling and weaned piglets,All species,2022,102495
Farm animals,No,All prescription types,Goats,All species,2021,9775
Farm animals,All types of active ingredients,All prescription types,All categories of use,Fish,2022,5349460
All animals,Yes,All prescription types,Suckling and weaned piglets,All species,2022,16620
Farm animals,No,Single treatments farm animals,Goats,All species,2021,6974
Farm animals,All types of active ingredients,Single treatments farm animals,All categories of use,Fish,2022,64000
All animals,Yes,Single treatments farm animals,Suckling and weaned piglets,All species,2022,4099
All animals,Yes,Oral group treatments,Suckling and weaned piglets,All species,2022,12521
Farm animals,No,Oral group treatments,Goats,All species,2021,2801
Farm animals,All types of active ingredients,Oral group treatments,All categories of use,Fish,2022,5285460
All animals,No,All prescription types,Poultry nCU,All species,2024,2011
All animals,All types of active ingredients,All prescription types,Suckling and weaned piglets,All species,2022,119983
All animals,No,Single treatments farm animals,Poultry nCU,All species,2024,11
All animals,No,Oral group treatments,Poultry nCU,All species,2024,2000
All animals,All types of active ingredients,Single treatments farm animals,Suckling and weaned piglets,All species,2022,4967
Farm animals,Yes,All prescription types,Goats,All species,2021,1749
Farm animals,No,All prescription types,Fish,Fish,2022,5349460
All animals,Yes,All prescription types,Poultry nCU,All species,2024,29
All animals,All types of active ingredients,Oral group treatments,Suckling and weaned piglets,All species,2022,115016
All animals,No,All prescription types,Sheep,All species,2022,14265
All animals,Yes,Single treatments farm animals,Poultry nCU,All species,2024,29
Farm animals,Yes,Single treatments farm animals,Goats,All species,2021,737
Farm animals,No,Single treatments farm animals,Fish,Fish,2022,64000
All animals,No,Single treatments farm animals,Sheep,All species,2022,13551
Farm animals,No,Oral group treatments,Fish,Fish,2022,5285460
Farm animals,Yes,Oral group treatments,Goats,All species,2021,1012
All animals,All types of active ingredients,All prescription types,Poultry nCU,All species,2024,2040
All animals,No,Oral group treatments,Sheep,All species,2022,714
Farm animals,All types of active ingredients,All prescription types,Fish,Fish,2022,5349460
All animals,All types of active ingredients,Single treatments farm animals,Poultry nCU,All species,2024,40
All animals,Yes,All prescription types,Sheep,All species,2022,1364
Farm animals,All types of active ingredients,All prescription types,Goats,All species,2021,11524
All animals,All types of active ingredients,Oral group treatments,Poultry nCU,All species,2024,2000
Farm animals,All types of active ingredients,Single treatments farm animals,Fish,Fish,2022,64000
All animals,Yes,Single treatments farm animals,Sheep,All species,2022,1364
Farm animals,All types of active ingredients,Single treatments farm animals,Goats,All species,2021,7711
All animals,No,All prescription types,Game animals,All species,2024,20
Farm animals,All types of active ingredients,Oral group treatments,Fish,Fish,2022,5285460
All animals,All types of active ingredients,All prescription types,Sheep,All species,2022,15629
Farm animals,All types of active ingredients,Oral group treatments,Goats,All species,2021,3813
All animals,No,Single treatments farm animals,Game animals,All species,2024,20
All animals,All types of active ingredients,Single treatments farm animals,Sheep,All species,2022,14915
All animals,Yes,All prescription types,Game animals,All species,2024,1
All animals,All types of active ingredients,Oral group treatments,Sheep,All species,2022,714
All animals,Yes,Single treatments farm animals,Game animals,All species,2024,1
Farm animals,No,All prescription types,All categories of use,Poultry,2022,6285420
All animals,All types of active ingredients,All prescription types,Game animals,All species,2024,21
Farm animals,No,Single treatments farm animals,All categories of use,Poultry,2022,23
All animals,All types of active ingredients,Single treatments farm animals,Game animals,All species,2024,21
Farm animals,No,Oral group treatments,All categories of use,Poultry,2022,6285397
Farm animals,Yes,All prescription types,All categories of use,Poultry,2022,2236714
Farm animals,Yes,Single treatments farm animals,All categories of use,Poultry,2022,1037
All animals,No,All prescription types,Dogs,All species,2024,200532
Farm animals,Yes,Oral group treatments,All categories of use,Poultry,2022,2235677
Farm animals,No,All prescription types,Breeding sows and boars,All species,2021,1791
All animals,No,Single treatments companion animals,Dogs,All species,2024,200532
All animals,Yes,All prescription types,Dogs,All species,2024,21606
Farm animals,No,Single treatments farm animals,Breeding sows and boars,All species,2021,1020
Farm animals,All types of active ingredients,All prescription types,All categories of use,Poultry,2022,8522134
All animals,Yes,Single treatments companion animals,Dogs,All species,2024,21606
All animals,All types of active ingredients,All prescription types,Dogs,All species,2024,222138
Farm animals,All types of active ingredients,Single treatments farm animals,All categories of use,Poultry,2022,1060
Farm animals,No,Oral group treatments,Breeding sows and boars,All species,2021,771
Farm animals,All types of active ingredients,Oral group treatments,All categories of use,Poultry,2022,8521074
Farm animals,Yes,All prescription types,Breeding sows and boars,All species,2021,717
Farm animals,No,All prescription types,Rearing laying hens and parent birds,Poultry,2022,286965
All animals,All types of active ingredients,Single treatments companion animals,Dogs,All species,2024,222138
Farm animals,Yes,Single treatments farm animals,Breeding sows and boars,All species,2021,713
All animals,No,All prescription types,Young sows,All species,2024,678
Farm animals,No,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2022,6
Farm animals,Yes,Oral group treatments,Breeding sows and boars,All species,2021,4
All animals,No,Single treatments farm animals,Young sows,All species,2024,144
Farm animals,All types of active ingredients,All prescription types,Breeding sows and boars,All species,2021,2508
Farm animals,No,Oral group treatments,Rearing laying hens and parent birds,Poultry,2022,286959
All animals,No,Oral group treatments,Young sows,All species,2024,534
Farm animals,All types of active ingredients,Single treatments farm animals,Breeding sows and boars,All species,2021,1733
Farm animals,Yes,All prescription types,Rearing laying hens and parent birds,Poultry,2022,300545
Farm animals,All types of active ingredients,Oral group treatments,Breeding sows and boars,All species,2021,775
All animals,Yes,All prescription types,Young sows,All species,2024,49
Farm animals,Yes,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2022,13
Farm animals,No,All prescription types,All categories of use,Fish,2021,7574594
Farm animals,Yes,Oral group treatments,Rearing laying hens and parent birds,Poultry,2022,300532
All animals,Yes,Single treatments farm animals,Young sows,All species,2024,29
Farm animals,All types of active ingredients,All prescription types,Rearing laying hens and parent birds,Poultry,2022,587510
All animals,No,All prescription types,Pigs nCU,All species,2022,6311
All animals,Yes,Oral group treatments,Young sows,All species,2024,20
All animals,No,Single treatments farm animals,Pigs nCU,All species,2022,1452
Farm animals,No,Oral group treatments,All categories of use,Fish,2021,7574594
All animals,All types of active ingredients,All prescription types,Young sows,All species,2024,727
All animals,No,Oral group treatments,Pigs nCU,All species,2022,4859
All animals,All types of active ingredients,Single treatments farm animals,Young sows,All species,2024,173
Farm animals,All types of active ingredients,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2022,19
All animals,Yes,All prescription types,Pigs nCU,All species,2022,3139
Farm animals,All types of active ingredients,All prescription types,All categories of use,Fish,2021,7574594
All animals,All types of active ingredients,Oral group treatments,Young sows,All species,2024,554
All animals,Yes,Single treatments farm animals,Pigs nCU,All species,2022,480
Farm animals,All types of active ingredients,Oral group treatments,All categories of use,Fish,2021,7574594
Farm animals,All types of active ingredients,Oral group treatments,Rearing laying hens and parent birds,Poultry,2022,587491
All animals,No,All prescription types,Camelids,All species,2024,783
Farm animals,No,All prescription types,Fish,Fish,2021,7574594
All animals,Yes,Oral group treatments,Pigs nCU,All species,2022,2659
Farm animals,No,Oral group treatments,Fish,Fish,2021,7574594
All animals,No,Single treatments farm animals,Camelids,All species,2024,783
Farm animals,All types of active ingredients,All prescription types,Fish,Fish,2021,7574594
All animals,Yes,All prescription types,Camelids,All species,2024,119
Farm animals,All types of active ingredients,Oral group treatments,Fish,Fish,2021,7574594
All animals,Yes,Single treatments farm animals,Camelids,All species,2024,119
All animals,All types of active ingredients,All prescription types,Camelids,All species,2024,902
All animals,All types of active ingredients,Single treatments farm animals,Camelids,All species,2024,902
Farm animals,No,All prescription types,Poultry nCU,Poultry,2022,90
Farm animals,No,Single treatments farm animals,Poultry nCU,Poultry,2022,10
Farm animals,No,Oral group treatments,Poultry nCU,Poultry,2022,80
Farm animals,Yes,All prescription types,Poultry nCU,Poultry,2022,2198
Farm animals,Yes,Single treatments farm animals,Poultry nCU,Poultry,2022,1011
Farm animals,Yes,Oral group treatments,Poultry nCU,Poultry,2022,1187
Farm animals,All types of active ingredients,All prescription types,Poultry nCU,Poultry,2022,2288
Farm animals,All types of active ingredients,Single treatments farm animals,Poultry nCU,Poultry,2022,1021
