Category,Species,Critical active substance ,Category of use,System,Year,Number of animal treatments
Farm animals,Poultry,All types of active ingredients,Rearing laying hens and parent birds,Juvenile animal diseases,2023,114442
Farm animals,Poultry,All types of active ingredients,Rearing laying hens and parent birds,"Metabolism, digestion",2023,4
Farm animals,Poultry,No,Poultry nCU,All Organ Systems,2023,4
Farm animals,Poultry,Yes,Poultry nCU,All Organ Systems,2023,19
Farm animals,Poultry,Yes,Poultry nCU,"Metabolism, digestion",2023,3
Farm animals,Poultry,All types of active ingredients,Poultry nCU,All Organ Systems,2023,23
Farm animals,Poultry,All types of active ingredients,Poultry nCU,"Metabolism, digestion",2023,3
Farm animals,Poultry,No,Laying and parent birds,All Organ Systems,2023,59971
Farm animals,Poultry,No,Laying and parent birds,"Metabolism, digestion",2023,2000
Farm animals,Poultry,Yes,Laying and parent birds,All Organ Systems,2023,15989
Farm animals,Poultry,Yes,Laying and parent birds,"Metabolism, digestion",2023,5330
Farm animals,Poultry,All types of active ingredients,Laying and parent birds,All Organ Systems,2023,75960
Farm animals,Poultry,All types of active ingredients,Laying and parent birds,"Metabolism, digestion",2023,7330
Farm animals,Poultry,No,Laying hens,All Organ Systems,2023,189433
Farm animals,Poultry,No,Laying hens,"Metabolism, digestion",2023,1
Farm animals,Poultry,Yes,Laying hens,All Organ Systems,2023,28944
Farm animals,Poultry,Yes,Laying hens,"Metabolism, digestion",2023,1
Farm animals,Poultry,All types of active ingredients,Laying hens,All Organ Systems,2023,218377
Farm animals,Poultry,All types of active ingredients,Laying hens,"Metabolism, digestion",2023,2
Farm animals,Poultry,No,Fattening broilers,All Organ Systems,2023,5475673
Farm animals,Poultry,No,Fattening broilers,Juvenile animal diseases,2023,4967378
Farm animals,Poultry,Yes,Fattening broilers,All Organ Systems,2023,1086526
Farm animals,Poultry,Yes,Fattening broilers,Juvenile animal diseases,2023,933726
Farm animals,Poultry,All types of active ingredients,Fattening broilers,All Organ Systems,2023,6562199
Farm animals,Poultry,All types of active ingredients,Fattening broilers,Juvenile animal diseases,2023,5901104
Farm animals,Poultry,No,Fattening turkeys,All Organ Systems,2023,15860
Farm animals,Poultry,No,Fattening turkeys,"Metabolism, digestion",2023,10240
Farm animals,Poultry,Yes,Fattening turkeys,All Organ Systems,2023,2401
Farm animals,Poultry,Yes,Fattening turkeys,"Metabolism, digestion",2023,1
Farm animals,Poultry,All types of active ingredients,Fattening turkeys,All Organ Systems,2023,18261
Farm animals,Poultry,All types of active ingredients,Fattening turkeys,"Metabolism, digestion",2023,10241
Farm animals,Rabbits,No,All categories of use,All Organ Systems,2023,47417
Farm animals,Rabbits,No,All categories of use,Mammary gland,2023,2
Farm animals,Rabbits,No,All categories of use,"Metabolism, digestion",2023,47402
Farm animals,Rabbits,No,All categories of use,"Animal husbandry, prophylaxis",2023,1
Farm animals,Rabbits,Yes,All categories of use,All Organ Systems,2023,2288
Farm animals,Rabbits,Yes,All categories of use,Mammary gland,2023,3
Farm animals,Rabbits,Yes,All categories of use,Parasites,2023,2
Farm animals,Rabbits,Yes,All categories of use,"Metabolism, digestion",2023,2005
Farm animals,Rabbits,Yes,All categories of use,"Animal husbandry, prophylaxis",2023,1
Farm animals,Rabbits,All types of active ingredients,All categories of use,All Organ Systems,2023,49705
Farm animals,Rabbits,All types of active ingredients,All categories of use,Mammary gland,2023,5
Farm animals,Rabbits,All types of active ingredients,All categories of use,Parasites,2023,2
Farm animals,Rabbits,All types of active ingredients,All categories of use,"Metabolism, digestion",2023,49407
Farm animals,Rabbits,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2023,2
Farm animals,Rabbits,No,Rabbits,All Organ Systems,2023,47417
Farm animals,Rabbits,No,Rabbits,Mammary gland,2023,2
Farm animals,Rabbits,No,Rabbits,"Metabolism, digestion",2023,47402
Farm animals,Rabbits,No,Rabbits,"Animal husbandry, prophylaxis",2023,1
Farm animals,Rabbits,Yes,Rabbits,All Organ Systems,2023,2288
Farm animals,Rabbits,Yes,Rabbits,Mammary gland,2023,3
Farm animals,Rabbits,Yes,Rabbits,Parasites,2023,2
Farm animals,Rabbits,Yes,Rabbits,"Metabolism, digestion",2023,2005
Farm animals,Rabbits,Yes,Rabbits,"Animal husbandry, prophylaxis",2023,1
Farm animals,Rabbits,All types of active ingredients,Rabbits,All Organ Systems,2023,49705
Farm animals,Rabbits,All types of active ingredients,Rabbits,Mammary gland,2023,5
Farm animals,Rabbits,All types of active ingredients,Rabbits,Parasites,2023,2
Farm animals,Rabbits,All types of active ingredients,Rabbits,"Metabolism, digestion",2023,49407
Farm animals,Rabbits,All types of active ingredients,Rabbits,"Animal husbandry, prophylaxis",2023,2
Farm animals,Cattle,No,All categories of use,All Organ Systems,2023,899025
Farm animals,Cattle,No,All categories of use,Udder,2023,293936
Farm animals,Cattle,No,All categories of use,Calf diseases,2023,152576
Farm animals,Cattle,No,All categories of use,Parasites,2023,165
Farm animals,Cattle,No,All categories of use,"Metabolism, digestion",2023,31651
Farm animals,Cattle,No,All categories of use,"Animal husbandry, prophylaxis",2023,24137
Farm animals,Cattle,Yes,All categories of use,All Organ Systems,2023,139980
Farm animals,Cattle,Yes,All categories of use,Udder,2023,20150
Farm animals,Cattle,Yes,All categories of use,Calf diseases,2023,38884
Farm animals,Cattle,Yes,All categories of use,Parasites,2023,1
Farm animals,Cattle,Yes,All categories of use,"Metabolism, digestion",2023,3970
Farm animals,Cattle,Yes,All categories of use,"Animal husbandry, prophylaxis",2023,89
Farm animals,Cattle,All types of active ingredients,All categories of use,All Organ Systems,2023,1039005
Farm animals,Cattle,All types of active ingredients,All categories of use,Udder,2023,314086
Farm animals,Cattle,All types of active ingredients,All categories of use,Calf diseases,2023,191460
Farm animals,Cattle,All types of active ingredients,All categories of use,Parasites,2023,166
Farm animals,Cattle,All types of active ingredients,All categories of use,"Metabolism, digestion",2023,35621
Farm animals,Cattle,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2023,24226
Farm animals,Cattle,No,Rearing calves,All Organ Systems,2023,64486
Farm animals,Cattle,No,Rearing calves,Udder,2023,638
Farm animals,Cattle,No,Rearing calves,Calf diseases,2023,39595
Farm animals,Cattle,No,Rearing calves,Parasites,2023,28
Farm animals,Cattle,No,Rearing calves,"Metabolism, digestion",2023,2941
Farm animals,Cattle,No,Rearing calves,"Animal husbandry, prophylaxis",2023,260
Farm animals,Cattle,Yes,Rearing calves,All Organ Systems,2023,16140
Farm animals,Cattle,Yes,Rearing calves,Udder,2023,95
Farm animals,Cattle,Yes,Rearing calves,Calf diseases,2023,8142
Farm animals,Cattle,Yes,Rearing calves,"Metabolism, digestion",2023,690
Farm animals,Cattle,Yes,Rearing calves,"Animal husbandry, prophylaxis",2023,11
Farm animals,Cattle,All types of active ingredients,Rearing calves,All Organ Systems,2023,80626
Farm animals,Cattle,All types of active ingredients,Rearing calves,Udder,2023,733
Farm animals,Cattle,All types of active ingredients,Rearing calves,Calf diseases,2023,47737
Farm animals,Cattle,All types of active ingredients,Rearing calves,Parasites,2023,28
Farm animals,Cattle,All types of active ingredients,Rearing calves,"Metabolism, digestion",2023,3631
Farm animals,Cattle,All types of active ingredients,Rearing calves,"Animal husbandry, prophylaxis",2023,271
Farm animals,Cattle,No,Rearing cattle,All Organ Systems,2023,23370
Farm animals,Cattle,No,Rearing cattle,Udder,2023,2946
Farm animals,Cattle,No,Rearing cattle,Calf diseases,2023,2586
Farm animals,Cattle,No,Rearing cattle,Parasites,2023,40
Farm animals,Cattle,No,Rearing cattle,"Metabolism, digestion",2023,1843
Farm animals,Cattle,No,Rearing cattle,"Animal husbandry, prophylaxis",2023,125
Farm animals,Cattle,Yes,Rearing cattle,All Organ Systems,2023,3086
Farm animals,Cattle,Yes,Rearing cattle,Udder,2023,160
Farm animals,Cattle,Yes,Rearing cattle,Calf diseases,2023,512
Farm animals,Cattle,Yes,Rearing cattle,Parasites,2023,1
Farm animals,Cattle,Yes,Rearing cattle,"Metabolism, digestion",2023,69
Farm animals,Cattle,Yes,Rearing cattle,"Animal husbandry, prophylaxis",2023,1
Farm animals,Cattle,All types of active ingredients,Rearing cattle,All Organ Systems,2023,26456
Farm animals,Cattle,All types of active ingredients,Rearing cattle,Udder,2023,3106
Farm animals,Cattle,All types of active ingredients,Rearing cattle,Calf diseases,2023,3098
Farm animals,Cattle,All types of active ingredients,Rearing cattle,Parasites,2023,41
Farm animals,Cattle,All types of active ingredients,Rearing cattle,"Metabolism, digestion",2023,1912
Farm animals,Cattle,All types of active ingredients,Rearing cattle,"Animal husbandry, prophylaxis",2023,126
Farm animals,Cattle,No,Fattening calves and cattle,All Organ Systems,2023,267726
Farm animals,Cattle,No,Fattening calves and cattle,Udder,2023,710
Farm animals,Cattle,No,Fattening calves and cattle,Calf diseases,2023,86162
Farm animals,Cattle,No,Fattening calves and cattle,Parasites,2023,27
Farm animals,Cattle,No,Fattening calves and cattle,"Metabolism, digestion",2023,4021
Farm animals,Cattle,No,Fattening calves and cattle,"Animal husbandry, prophylaxis",2023,2421
Farm animals,Cattle,Yes,Fattening calves and cattle,All Organ Systems,2023,76252
Farm animals,Cattle,Yes,Fattening calves and cattle,Udder,2023,337
Farm animals,Cattle,Yes,Fattening calves and cattle,Calf diseases,2023,24887
Farm animals,Cattle,Yes,Fattening calves and cattle,"Metabolism, digestion",2023,1718
Farm animals,Cattle,Yes,Fattening calves and cattle,"Animal husbandry, prophylaxis",2023,41
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,All Organ Systems,2023,343978
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,Udder,2023,1047
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,Calf diseases,2023,111049
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,Parasites,2023,27
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,"Metabolism, digestion",2023,5739
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,"Animal husbandry, prophylaxis",2023,2462
Farm animals,Cattle,No,Dairy cows,All Organ Systems,2023,474875
Farm animals,Cattle,No,Dairy cows,Udder,2023,271374
Farm animals,Cattle,No,Dairy cows,Calf diseases,2023,8143
Farm animals,Cattle,No,Dairy cows,Parasites,2023,59
Farm animals,Cattle,No,Dairy cows,"Metabolism, digestion",2023,19923
Farm animals,Cattle,No,Dairy cows,"Animal husbandry, prophylaxis",2023,20167
Farm animals,Cattle,Yes,Dairy cows,All Organ Systems,2023,36086
Farm animals,Cattle,Yes,Dairy cows,Udder,2023,18254
Farm animals,Cattle,Yes,Dairy cows,Calf diseases,2023,1841
Farm animals,Cattle,Yes,Dairy cows,"Metabolism, digestion",2023,1246
Farm animals,Cattle,Yes,Dairy cows,"Animal husbandry, prophylaxis",2023,25
Farm animals,Cattle,All types of active ingredients,Dairy cows,All Organ Systems,2023,510961
Farm animals,Cattle,All types of active ingredients,Dairy cows,Udder,2023,289628
Farm animals,Cattle,All types of active ingredients,Dairy cows,Calf diseases,2023,9984
Farm animals,Cattle,All types of active ingredients,Dairy cows,Parasites,2023,59
Farm animals,Cattle,All types of active ingredients,Dairy cows,"Metabolism, digestion",2023,21169
Farm animals,Cattle,All types of active ingredients,Dairy cows,"Animal husbandry, prophylaxis",2023,20192
Farm animals,Cattle,No,Cow-calf calves,All Organ Systems,2023,18311
Farm animals,Cattle,No,Cow-calf calves,Udder,2023,122
Farm animals,Cattle,No,Cow-calf calves,Calf diseases,2023,11767
Farm animals,Cattle,No,Cow-calf calves,Parasites,2023,8
Farm animals,Cattle,No,Cow-calf calves,"Metabolism, digestion",2023,683
Farm animals,Cattle,No,Cow-calf calves,"Animal husbandry, prophylaxis",2023,324
Farm animals,Cattle,Yes,Cow-calf calves,All Organ Systems,2023,3898
Farm animals,Cattle,Yes,Cow-calf calves,Udder,2023,22
Farm animals,Cattle,Yes,Cow-calf calves,Calf diseases,2023,2194
Farm animals,Cattle,Yes,Cow-calf calves,"Metabolism, digestion",2023,98
Farm animals,Cattle,Yes,Cow-calf calves,"Animal husbandry, prophylaxis",2023,10
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,All Organ Systems,2023,22209
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Udder,2023,144
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Calf diseases,2023,13961
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Parasites,2023,8
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,"Metabolism, digestion",2023,781
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,"Animal husbandry, prophylaxis",2023,334
Farm animals,Cattle,No,Suckler cows,All Organ Systems,2023,30607
Farm animals,Cattle,No,Suckler cows,Udder,2023,10113
Farm animals,Cattle,No,Suckler cows,Calf diseases,2023,1084
Farm animals,Cattle,No,Suckler cows,Parasites,2023,3
Farm animals,Cattle,No,Suckler cows,"Metabolism, digestion",2023,1254
Farm animals,Cattle,No,Suckler cows,"Animal husbandry, prophylaxis",2023,581
Farm animals,Cattle,Yes,Suckler cows,All Organ Systems,2023,2136
Farm animals,Cattle,Yes,Suckler cows,Udder,2023,929
Farm animals,Cattle,Yes,Suckler cows,Calf diseases,2023,366
Farm animals,Cattle,Yes,Suckler cows,"Metabolism, digestion",2023,42
Farm animals,Cattle,All types of active ingredients,Suckler cows,All Organ Systems,2023,32743
Farm animals,Cattle,All types of active ingredients,Suckler cows,Udder,2023,11042
Farm animals,Cattle,All types of active ingredients,Suckler cows,Calf diseases,2023,1450
Farm animals,Cattle,All types of active ingredients,Suckler cows,Parasites,2023,3
Farm animals,Cattle,All types of active ingredients,Suckler cows,"Metabolism, digestion",2023,1296
Farm animals,Cattle,All types of active ingredients,Suckler cows,"Animal husbandry, prophylaxis",2023,581
Farm animals,Cattle,No,Cattle nCU,All Organ Systems,2023,19650
Farm animals,Cattle,No,Cattle nCU,Udder,2023,8033
Farm animals,Cattle,No,Cattle nCU,Calf diseases,2023,3239
Farm animals,Cattle,No,Cattle nCU,"Metabolism, digestion",2023,986
Farm animals,Cattle,No,Cattle nCU,"Animal husbandry, prophylaxis",2023,259
Farm animals,Cattle,Yes,Cattle nCU,All Organ Systems,2023,2382
Farm animals,Cattle,Yes,Cattle nCU,Udder,2023,353
Farm animals,Cattle,Yes,Cattle nCU,Calf diseases,2023,942
Farm animals,Cattle,Yes,Cattle nCU,"Metabolism, digestion",2023,107
Farm animals,Cattle,Yes,Cattle nCU,"Animal husbandry, prophylaxis",2023,1
Farm animals,Cattle,All types of active ingredients,Cattle nCU,All Organ Systems,2023,22032
Farm animals,Cattle,All types of active ingredients,Cattle nCU,Udder,2023,8386
Farm animals,Cattle,All types of active ingredients,Cattle nCU,Calf diseases,2023,4181
Farm animals,Cattle,All types of active ingredients,Cattle nCU,"Metabolism, digestion",2023,1093
Farm animals,Cattle,All types of active ingredients,Cattle nCU,"Animal husbandry, prophylaxis",2023,260
Farm animals,Sheep,No,All categories of use,All Organ Systems,2023,18781
Farm animals,Sheep,No,All categories of use,Udder,2023,2065
Farm animals,Sheep,No,All categories of use,Lamb diseases,2023,2166
Farm animals,Sheep,No,All categories of use,Parasites,2023,65
Farm animals,Sheep,No,All categories of use,"Metabolism, digestion",2023,820
Farm animals,Sheep,No,All categories of use,"Animal husbandry, prophylaxis",2023,299
Farm animals,Sheep,Yes,All categories of use,All Organ Systems,2023,2041
Farm animals,Sheep,Yes,All categories of use,Udder,2023,416
Farm animals,Sheep,Yes,All categories of use,Lamb diseases,2023,262
Farm animals,Sheep,Yes,All categories of use,Parasites,2023,3
Farm animals,Sheep,Yes,All categories of use,"Metabolism, digestion",2023,71
Farm animals,Sheep,Yes,All categories of use,"Animal husbandry, prophylaxis",2023,4
Farm animals,Sheep,All types of active ingredients,All categories of use,All Organ Systems,2023,20822
Farm animals,Sheep,All types of active ingredients,All categories of use,Udder,2023,2481
Farm animals,Sheep,All types of active ingredients,All categories of use,Lamb diseases,2023,2428
Farm animals,Sheep,All types of active ingredients,All categories of use,Parasites,2023,68
Farm animals,Sheep,All types of active ingredients,All categories of use,"Metabolism, digestion",2023,891
Farm animals,Sheep,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2023,303
Farm animals,Sheep,No,Sheep,All Organ Systems,2023,18781
Farm animals,Sheep,No,Sheep,Udder,2023,2065
Farm animals,Sheep,No,Sheep,Lamb diseases,2023,2166
Farm animals,Sheep,No,Sheep,Parasites,2023,65
Farm animals,Sheep,No,Sheep,"Metabolism, digestion",2023,820
Farm animals,Sheep,No,Sheep,"Animal husbandry, prophylaxis",2023,299
Farm animals,Sheep,Yes,Sheep,All Organ Systems,2023,2041
Farm animals,Sheep,Yes,Sheep,Udder,2023,416
Farm animals,Sheep,Yes,Sheep,Lamb diseases,2023,262
Farm animals,Sheep,Yes,Sheep,Parasites,2023,3
Farm animals,Sheep,Yes,Sheep,"Metabolism, digestion",2023,71
Farm animals,Sheep,Yes,Sheep,"Animal husbandry, prophylaxis",2023,4
Farm animals,Sheep,All types of active ingredients,Sheep,All Organ Systems,2023,20822
Farm animals,Sheep,All types of active ingredients,Sheep,Udder,2023,2481
Farm animals,Sheep,All types of active ingredients,Sheep,Lamb diseases,2023,2428
Farm animals,Sheep,All types of active ingredients,Sheep,Parasites,2023,68
Farm animals,Sheep,All types of active ingredients,Sheep,"Metabolism, digestion",2023,891
Farm animals,Sheep,All types of active ingredients,Sheep,"Animal husbandry, prophylaxis",2023,303
Farm animals,Pigs,No,All categories of use,All Organ Systems,2023,141912
Farm animals,Pigs,No,All categories of use,"Symptoms, other disorders",2023,18687
Farm animals,Pigs,Yes,All categories of use,All Organ Systems,2023,22918
Farm animals,Pigs,Yes,All categories of use,"Symptoms, other disorders",2023,2117
Farm animals,Pigs,All types of active ingredients,All categories of use,All Organ Systems,2023,164830
Farm animals,Pigs,All types of active ingredients,All categories of use,"Symptoms, other disorders",2023,20804
Farm animals,Pigs,No,Young sows,All Organ Systems,2023,533
Farm animals,Pigs,No,Young sows,"Symptoms, other disorders",2023,331
Farm animals,Pigs,Yes,Young sows,All Organ Systems,2023,332
Farm animals,Pigs,Yes,Young sows,"Symptoms, other disorders",2023,30
Farm animals,Pigs,All types of active ingredients,Young sows,All Organ Systems,2023,865
Farm animals,Pigs,All types of active ingredients,Young sows,"Symptoms, other disorders",2023,361
Farm animals,Pigs,No,Fattening pigs,All Organ Systems,2023,55796
Farm animals,Pigs,No,Fattening pigs,"Symptoms, other disorders",2023,9309
Farm animals,Pigs,Yes,Fattening pigs,All Organ Systems,2023,6980
Farm animals,Pigs,Yes,Fattening pigs,"Symptoms, other disorders",2023,933
Farm animals,Pigs,All types of active ingredients,Fattening pigs,All Organ Systems,2023,62776
Farm animals,Pigs,All types of active ingredients,Fattening pigs,"Symptoms, other disorders",2023,10242
Farm animals,Pigs,No,Suckling and weaned piglets,All Organ Systems,2023,81824
Farm animals,Pigs,No,Suckling and weaned piglets,"Symptoms, other disorders",2023,8337
Farm animals,Pigs,Yes,Suckling and weaned piglets,All Organ Systems,2023,14439
Farm animals,Pigs,Yes,Suckling and weaned piglets,"Symptoms, other disorders",2023,1065
Farm animals,Pigs,All types of active ingredients,Suckling and weaned piglets,All Organ Systems,2023,96263
Farm animals,Pigs,All types of active ingredients,Suckling and weaned piglets,"Symptoms, other disorders",2023,9402
Farm animals,Pigs,No,Pigs nCU,All Organ Systems,2023,1254
Farm animals,Pigs,No,Pigs nCU,"Symptoms, other disorders",2023,353
Farm animals,Pigs,Yes,Pigs nCU,All Organ Systems,2023,89
Farm animals,Pigs,Yes,Pigs nCU,"Symptoms, other disorders",2023,2
Farm animals,Pigs,All types of active ingredients,Pigs nCU,All Organ Systems,2023,1343
Farm animals,Pigs,All types of active ingredients,Pigs nCU,"Symptoms, other disorders",2023,355
Farm animals,Pigs,No,Breeding sows and boars,All Organ Systems,2023,2505
Farm animals,Pigs,No,Breeding sows and boars,"Symptoms, other disorders",2023,357
Farm animals,Pigs,Yes,Breeding sows and boars,All Organ Systems,2023,1078
Farm animals,Pigs,Yes,Breeding sows and boars,"Symptoms, other disorders",2023,87
Farm animals,Pigs,All types of active ingredients,Breeding sows and boars,All Organ Systems,2023,3583
Farm animals,Pigs,All types of active ingredients,Breeding sows and boars,"Symptoms, other disorders",2023,444
Farm animals,Goats,No,All categories of use,All Organ Systems,2023,10041
Farm animals,Goats,No,All categories of use,Udder,2023,927
Farm animals,Goats,No,All categories of use,Diseases of the goat,2023,1178
Farm animals,Goats,No,All categories of use,Parasites,2023,67
Farm animals,Goats,No,All categories of use,"Metabolism, digestion",2023,1026
Farm animals,Goats,No,All categories of use,"Animal husbandry, prophylaxis",2023,221
Farm animals,Goats,Yes,All categories of use,All Organ Systems,2023,2048
Farm animals,Goats,Yes,All categories of use,Udder,2023,140
Farm animals,Goats,Yes,All categories of use,Diseases of the goat,2023,315
Farm animals,Goats,Yes,All categories of use,Parasites,2023,1
Farm animals,Goats,Yes,All categories of use,"Metabolism, digestion",2023,425
Farm animals,Goats,Yes,All categories of use,"Animal husbandry, prophylaxis",2023,4
Farm animals,Goats,All types of active ingredients,All categories of use,All Organ Systems,2023,12089
Farm animals,Goats,All types of active ingredients,All categories of use,Udder,2023,1067
Farm animals,Goats,All types of active ingredients,All categories of use,Diseases of the goat,2023,1493
Farm animals,Goats,All types of active ingredients,All categories of use,Parasites,2023,68
Farm animals,Goats,All types of active ingredients,All categories of use,"Metabolism, digestion",2023,1451
Farm animals,Goats,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2023,225
Farm animals,Goats,No,Goats,All Organ Systems,2023,10041
Farm animals,Goats,No,Goats,Udder,2023,927
Farm animals,Goats,No,Goats,Diseases of the goat,2023,1178
Farm animals,Goats,No,Goats,Parasites,2023,67
Farm animals,Goats,No,Goats,"Metabolism, digestion",2023,1026
Farm animals,Goats,No,Goats,"Animal husbandry, prophylaxis",2023,221
Farm animals,Goats,Yes,Goats,All Organ Systems,2023,2048
Farm animals,Goats,Yes,Goats,Udder,2023,140
Farm animals,Goats,Yes,Goats,Diseases of the goat,2023,315
Farm animals,Goats,Yes,Goats,Parasites,2023,1
Farm animals,Goats,Yes,Goats,"Metabolism, digestion",2023,425
Farm animals,Goats,Yes,Goats,"Animal husbandry, prophylaxis",2023,4
Farm animals,Goats,All types of active ingredients,Goats,All Organ Systems,2023,12089
Farm animals,Goats,All types of active ingredients,Goats,Udder,2023,1067
Farm animals,Goats,All types of active ingredients,Goats,Diseases of the goat,2023,1493
Farm animals,Goats,All types of active ingredients,Goats,Parasites,2023,68
Farm animals,Goats,All types of active ingredients,Goats,"Metabolism, digestion",2023,1451
Farm animals,Goats,All types of active ingredients,Goats,"Animal husbandry, prophylaxis",2023,225
Farm animals,Cattle,No,Cow-calf calves,All Organ Systems,2024,19262
Farm animals,Cattle,No,Cow-calf calves,Udder,2024,201
Farm animals,Cattle,No,Cow-calf calves,Calf diseases,2024,11969
Farm animals,Cattle,No,Cow-calf calves,Parasites,2024,9
Farm animals,Cattle,No,Cow-calf calves,"Metabolism, digestion",2024,856
Farm animals,Cattle,No,Cow-calf calves,"Animal husbandry, prophylaxis",2024,326
Farm animals,Cattle,Yes,Cow-calf calves,All Organ Systems,2024,4165
Farm animals,Cattle,Yes,Cow-calf calves,Udder,2024,59
Farm animals,Cattle,Yes,Cow-calf calves,Calf diseases,2024,2420
Farm animals,Cattle,Yes,Cow-calf calves,Parasites,2024,2
Farm animals,Cattle,Yes,Cow-calf calves,"Metabolism, digestion",2024,125
Farm animals,Cattle,Yes,Cow-calf calves,"Animal husbandry, prophylaxis",2024,12
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,All Organ Systems,2024,23427
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Udder,2024,260
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Calf diseases,2024,14389
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Parasites,2024,11
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,"Metabolism, digestion",2024,981
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,"Animal husbandry, prophylaxis",2024,338
Farm animals,Cattle,No,Suckler cows,All Organ Systems,2024,29890
Farm animals,Cattle,No,Suckler cows,Udder,2024,9395
Farm animals,Cattle,No,Suckler cows,Calf diseases,2024,1030
Farm animals,Cattle,No,Suckler cows,Parasites,2024,1
Farm animals,Cattle,No,Suckler cows,"Metabolism, digestion",2024,1267
Farm animals,Cattle,No,Suckler cows,"Animal husbandry, prophylaxis",2024,597
Farm animals,Cattle,Yes,Suckler cows,All Organ Systems,2024,2103
Farm animals,Cattle,Yes,Suckler cows,Udder,2024,899
Farm animals,Cattle,Yes,Suckler cows,Calf diseases,2024,307
Farm animals,Cattle,Yes,Suckler cows,"Metabolism, digestion",2024,69
Farm animals,Cattle,All types of active ingredients,Suckler cows,All Organ Systems,2024,31993
Farm animals,Cattle,All types of active ingredients,Suckler cows,Udder,2024,10294
Farm animals,Cattle,All types of active ingredients,Suckler cows,Calf diseases,2024,1337
Farm animals,Cattle,All types of active ingredients,Suckler cows,Parasites,2024,1
Farm animals,Cattle,All types of active ingredients,Suckler cows,"Metabolism, digestion",2024,1336
Farm animals,Cattle,All types of active ingredients,Suckler cows,"Animal husbandry, prophylaxis",2024,597
Farm animals,Cattle,No,Cattle nCU,All Organ Systems,2024,673
Farm animals,Cattle,No,Cattle nCU,Udder,2024,414
Farm animals,Cattle,No,Cattle nCU,"Metabolism, digestion",2024,24
Farm animals,Cattle,Yes,Cattle nCU,All Organ Systems,2024,20
Farm animals,Cattle,Yes,Cattle nCU,Udder,2024,15
Farm animals,Cattle,All types of active ingredients,Cattle nCU,All Organ Systems,2024,693
Farm animals,Cattle,All types of active ingredients,Cattle nCU,Udder,2024,429
Farm animals,Cattle,All types of active ingredients,Cattle nCU,"Metabolism, digestion",2024,24
Farm animals,Sheep,No,All categories of use,All Organ Systems,2024,19738
Farm animals,Sheep,No,All categories of use,Udder,2024,1975
Farm animals,Sheep,No,All categories of use,Lamb diseases,2024,2325
Farm animals,Sheep,No,All categories of use,Parasites,2024,74
Farm animals,Sheep,No,All categories of use,"Metabolism, digestion",2024,1038
Farm animals,Sheep,No,All categories of use,"Animal husbandry, prophylaxis",2024,341
Farm animals,Sheep,Yes,All categories of use,All Organ Systems,2024,1417
Farm animals,Sheep,Yes,All categories of use,Udder,2024,361
Farm animals,Sheep,Yes,All categories of use,Lamb diseases,2024,341
Farm animals,Sheep,Yes,All categories of use,"Metabolism, digestion",2024,57
Farm animals,Sheep,Yes,All categories of use,"Animal husbandry, prophylaxis",2024,2
Farm animals,Sheep,All types of active ingredients,All categories of use,All Organ Systems,2024,21155
Farm animals,Sheep,All types of active ingredients,All categories of use,Udder,2024,2336
Farm animals,Sheep,All types of active ingredients,All categories of use,Lamb diseases,2024,2666
Farm animals,Sheep,All types of active ingredients,All categories of use,Parasites,2024,74
Farm animals,Sheep,All types of active ingredients,All categories of use,"Metabolism, digestion",2024,1095
Farm animals,Sheep,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2024,343
Farm animals,Sheep,No,Sheep,All Organ Systems,2024,19738
Farm animals,Sheep,No,Sheep,Udder,2024,1975
Farm animals,Sheep,No,Sheep,Lamb diseases,2024,2325
Farm animals,Sheep,No,Sheep,Parasites,2024,74
Farm animals,Sheep,No,Sheep,"Metabolism, digestion",2024,1038
Farm animals,Sheep,No,Sheep,"Animal husbandry, prophylaxis",2024,341
Farm animals,Sheep,Yes,Sheep,All Organ Systems,2024,1417
Farm animals,Sheep,Yes,Sheep,Udder,2024,361
Farm animals,Sheep,Yes,Sheep,Lamb diseases,2024,341
Farm animals,Sheep,Yes,Sheep,"Metabolism, digestion",2024,57
