Code,NAME DE,NAME FR,NAME IT,NAME EN,Steckbrief
20307-93,"Bentazon (Summe aus Bentazon, seinen Salzen und 6-Hydroxy-Bentazon (frei und konjugiert) und 8-Hydroxy-Bentazon (frei und konjugiert), ausgedrückt als Bentazon)","Bentazone (Somme de la bentazone, de ses sels, de la 6-hydroxybentazone (libre ou conjuguée) et de la 8-hydroxybentazone (libre ou conjuguée), exprimée en bentazone)","Bentazone (Somma di bentazone, suoi sali e 6-idrossi bentazone (libero e coniugato) e 8-idrossi bentazone (libero e coniugato), espressa come bentazone)","Bentazone (Sum of bentazone, its salts and 6-hydroxy (free and conjugated) and 8-hydroxy bentazone (free and conjugated), expressed as bentazone)",PSM
20308-90,Benthiavalicarb-isopropyl (KIF-230 R-L) und sein Enantiomer (KIF-230 S-D) sowie seine Diastereomeren (KIF-230 R-L und KIF-230 S-D),Benthiavalicarb-isopropyl (KIF-230 R-L) ainsi que son énantiomère (KIF-230 S-D) et ses diastéréomères (KIF-230 R-L et KIF-230 S-D),Bentiavalicarb-isopropile (KIF-230 R-L) e relativi enantiomero (KIF-230 S-D) e diastereomeri (KIF-230 R-L e KIF-230 S-D),Benthiavalicarb-isopropyl (KIF-230 R-L) and its enantiomer (KIF-230 S-D) and diastereomers (KIF-230 R-L and KIF-230 S-D),PSM
20309-87,"Bromoxynil (Bromoxynil und seine Esther, ausgedrückt als Bromoxynil)",Bromoxynil (y compris ses esters exprimés en bromoxynil),Bromoxynil (bromoxynil e relativi esteri espressi in bromoxynil),Bromoxynil (including esters expressed as bromoxynil),PSM
20310-84,"Cyanamid einschliesslich seiner Salze, ausgedrückt als Cyanamid","Cyanamide, y compris les sels exprimés en cyanamide","Cianamide inclusi sali, espressi in cianamide",Cyanamide including salts expressed as cyanamide,PSM
20311-81,"Cycloxydim einschliesslich seiner Abbau- und Reaktionsprodukte, die als 3-(3-Thianyl)glutaminsäure S-dioxid (BH 517-TGSO2) und/oder 3-Hydroxy-3-(3-thianyl)glutaminsäure S-dioxid (BH 517-5-OH-TGSO2) oder deren Methylester bestimmt werden können, insgesamt ausgedrückt als Cycloxydim","Cycloxydime, y compris les produits de dégradation et de réaction qui peuvent être déterminés en S-dioxyde d´acide 3-(3-thianyl)glutarique (BH 517-TGSO2) et/ou S-dioxyde d´acide 3-hydroxy-3-(3-thianyl)glutarique (BH 517-5-OH-TGSO2) ou en ses esters méthyliques, calculés au total en cycloxydime","Ciclossidim inclusi prodotti di degradazione e di reazione che possono essere determinati come S-diossido di acido 3-(3-tienil)glutarico (BH 517-TGSO2) e/o S-diossido di acido 3-idrossi-3-(3-tienil)glutarico (BH 517-5-OH-TGSO2) o i relativi esteri di metile, calcolati nell´insieme come ciclossidim","Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or methyl esters thereof, calculated in total as cycloxydim ",PSM
20313-75,"Daminozid (Summe von Daminozid und 1,1-Dimethyl-hydrazin (UDHM), ausgedrückt als Daminozid)","Daminozide (somme du daminozide et de la 1,1-diméthylhydrazine (UDHM), exprimée en daminozide)","Daminozide (somma di daminozide e 1,1-dimetilidrazina (UDHM) espressa in daminozide)","Daminozide (sum of daminozide and 1,1-dimethyl-hydrazine (UDHM), expressed as daminozide)",PSM
20316-66,"Fosetyl-Al (Summe von Fosetyl, Phosphonsäure und ihren Salzen, ausgedrückt als Fosetyl)","Fosétyl-Al (somme du fosétyl, de l'acide phosphonique et de leurs sels, exprimée en fosétyl)","Fosetil-Al (somma di fosetil, acido fosfonico e dei loro sali, espressa in fosetil)","Fosetyl-Al (sum fosetyl + phosphorous acid and their salts, expressed as fosetyl)",PSM
20317-63,"Iodosulfuron-methyl (Summe aus Iodosulfuron-methyl und seinen Salzen, ausgedrückt als Iodosulfuron-methyl)","Iodosulfuron-méthyl (somme de iodosulfuron-méthyl et de ses sels, exprimée en iodosulfuron-méthyl)","Iodosulfuron-metil (somma di iodosulfuron-metil e dei relativi sali, espressi in iodosulfuron-metil)","Iodosulfuron-methyl (iodosulfuron-methyl including salts, expressed as iodosulfuron-methyl)",PSM
20319-57,"Mesotrion (Summe aus Mesotrion und MNBA (4-Methylsulfonyl-2-nitrobenzoesäure), ausgedrückt als Mesotrion)",Mésotrione (somme de mésotrione et de MNBA (acide 4-méthylsulfonyl-2-nitrobenzoïque) exprimée en mésotrione),"Mesotrione (somma di mesotrione e MNBA (acido 4-metilsolfonil-2-nitro benzoico), espressa in mesotrione)","Mesotrione (Sum of mesotrione and MNBA (4-methylsulfonyl-2-nitro benzoic acid), expressed as mesotrione)",PSM
20320-54,"Phosmet (Phosmet und Phosmet-oxon, ausgedrückt als Phosmet)","Phosmet (phosmet et oxone de phosmet, exprimés en phosmet)",Fosmet (fosmet e fosmetozono expresso in fosmet),Phosmet (phosmet and phosmet oxon expressed as phosmet),PSM
20321-51,"Propoxycarbazon (Propoxycarbazon, seine Salze und 2-Hydroxypropoxycarbazon, ausgedrückt als Propoxycarbazon)","Propoxycarbazone (propoxycarbazone, ses sels et 2-hydroxy-propoxycarbazone exprimés en propoxycarbazone)","Propoxycarbazone (propoxycarbazone, i suoi sali e 2-idrossipropoxycarbazone, espressi in propoxycarbazone)","Propoxycarbazone (propoxycarbazone, its salts and 2-hydroxypropoxycarbazone expressed as propoxycarbazone)",PSM
20324-42,"Triflumizol und sein Metabolit FM-6-1 (N-(4-Chlor-2-trifluormethylphenyl)-n-propoxyacetamid), ausgedrückt als Triflumizol","Triflumizole et métabolite FM-6-1(N-(4-chloro-2-trifluorométhylphényl)-n-propoxyacétamidine), exprimés en triflumizole","Triflumizolo e il metabolita FM-6-1(N-(4-cloro-2-trifluorometilfenil-n-propoxyacetamidine), espressi in triflumizolo","Triflumizole and metabolite FM-6-1(N-(4-chloro-2-trifluoromethylphenyl)-n-propoxyacetamidine), expressed as triflumizole",PSM
203-71,Chlorotoluron,Chlorotoluron,Clortoluron,Chlorotoluron,PSM
204-68,Chloroxuron,Chloroxuron,Cloroxuron,Chloroxuron,PSM
20787-11,"Quintozen (Summe aus Quintozen und Pentachloranilin, ausgedrückt als Quintozen)","Quintozène (somme du quintozène et de la pentachloroaniline, exprimée en quintozène)","Quintozene (somma di quintozene e di pentacloroanilina, espressa in quintozene)",Quintozene (sum of quintozene and pentachloro-aniline expressed as quintozene),PSM
20788-08,"Endosulfan (Summe aus alpha- und beta-Isomeren und Endosulfansulfat, ausgedrückt als Endosulfan)","Endosulfan (somme des isomères alpha et bêta et du sulfate d´endosulfan, exprimée en endosulfan)","Endosulfan (somma degli isomeri alfa e beta e del solfato di endosulfan, espressi in endosulfan)",Endosulfan (sum of alpha- and beta-isomers and endosulfan-sulphate expresses as endosulfan),PSM
20789-05,Chlordan (Summe aus cis- und trans-Chlordan),Chlordane (somme de cis- et trans-chlordane),Clordano (somma di cis- e trans-clordano),Chlordane (sum of cis- and trans-chlordane),PSM
20791-96,"Aldicarb (Summe aus Aldicarb, seinem Sulfoxid und seinem Sulfon, ausgedrückt als Aldicarb)","Aldicarbe (somme de l'aldicarbe de son sulfoxide et de sa sulfone, exprimée en aldicarbe)","Aldicarb (somma di Aldicarb e suo solfossido e solfone, espressa in aldicarb)","Aldicarb (sum of Aldicarb, its sulfoxide and its sulfone, expressed as Aldicarb)",PSM
20792-93,"Amitraz (Amitraz einschliesslich seiner Metaboliten, die die 2,4-Dimethylanilin-Gruppe enthalten, ausgedrückt als Amitraz)","Amitraze (y compris les métabolites contenant la fraction de 2,4-diméthylaniline exprimée en amitraze)","Amitraz (amitraz compresi i metaboliti contenenti la frazione di 2,4 dimetilanilina espressi in amitraz)","Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",PSM
20793-90,"Carbofuran (Summe aus Carbofuran (einschliesslich Carbofuran aus Carbosulfan, Benfuracarb oder Furathiocarb) und 3-Hydroxycarbofuran, ausgedrückt als Carbofuran)","Carbofurane (somme du carbofurane (y compris le carbofurane provenant de carbosulfane, de benfuracarb ou de furathiocarbe) et du 3-hydroxy-carbofurane, exprimée en carbofurane)","Carbofurano (somma di carbofurano (incluso carbofurano generato da carbosulfan, benfuracarb o furatiocarb) e 3-idrossi-carbofurano espressa in carbofurano)","Carbofuran (sum of carbofuran (including carbofuran derived from carbosulfan, benfuracarb or furathiocarb) and 3-hydroxycarbofuran expressed as carbofuran)",PSM
20794-87,"Fenthion (Fenthion und sein Sauerstoffanalogon und ihren Sulfoxiden und Sulfonen, ausgedrückt als Fenthion)","Fenthion (et son analogue oxygéné, leurs sulfoxydes et leurs sulfones exprimés en fenthion)","Fention (fention e il suo analogo ossigenato, i loro sulfossidi e sulfoni, espressi in fention)","Fenthion (fenthion and its oxigen analogue, their sulfoxides and sulfone expressed as parent)",PSM
20795-84,"Malathion (Summe aus Malathion und Malaoxon, ausgedrückt als Malathion)","Malathion (somme du malathion et du malaoxon, exprimée en malathion)","Malation (somma di malation e malaoxon, espressa in malation)",Malathion (sum of malathion and malaoxon expressed as malathion),PSM
20796-81,"Phorat (Summe aus Phorat, seinem Sauerstoffanalogon und ihren Sulfoxiden und Sulfonen, ausgedrückt als Phorat)","Phorate (somme du phorate, de son analogue oxygéné et de leurs sulfones et sulfoxydes, exprimée en phorate)","Forate (somma di forate, del suo analogo ossigenato e dei loro solfoni e solfossidi, espressa in forate)","Phorate (sum of phorate, its oxygen analogue and their sulfones and sulfoxydes expressed as phorate)",PSM
20797-78,"Pirimicarb (Summe aus Pirimicarb und Desmethyl-Pirimicarb, ausgedrückt als Pirimicarb)","Pirimicarbe (somme du pirimicarbe et desméthyl pirimicarbe, exprimée en pirimicarbe)","Pirimicarb (somma di pirimicarb e pirimicarb desmetil, espressa in pirimicarb)",Pirimicarb (sum of pirimicarb and desmethyl pirimicarb expressed as pirimicarb),PSM
20798-75,"Thiametoxam (Summe von Thiametoxam und Clothianidin, ausgedrückt als Thiametoxam)","Thiamethoxam (somme du thiametoxam et de la clothianidine, exprimée en thiametoxam)",Tiametoxam (somma di tiametoxam e clotianidin espressa in tiametoxam),Thiamethoxam (sum of thiamethoxam and clothianidin expressed as thiamethoxam),PSM
20799-72,"Triadimenol (Summe aus Triadimenol und Triadimefon, ausgedrückt als Triadimenol)",Triadimenol (somme du triadiméfone et triadimenol),Triadimenol (somma di triadimefon e triadimenol),Triadimenol (sum of triadimefon and triadimenol),PSM
208-56,Chlorpropham,Chlorprophame,Clorprofam,Chlorpropham,PSM
2094-24,Sulfosulfuron,Sulfosulfuron,Sulfosulfuron,Sulfosulfuron,PSM
2095-21,"Carvon, d-","Carvone, d-","Carvone, d-","Carvone, d-",PSM
210-50,Chlorpyrifos-methyl,Chlorpyrifos-méthyl,Clorpirifos metile,Chlorpyrifos-methyl,PSM
211-47,Chlorpyrifos,Chlorpyrifos,Clorpirifos,Chlorpyrifos,PSM
213-41,Chlorsulfuron,Chlorsulfuron,Clorsulfuron,Chlorsulfuron,PSM
214-38,Chlorthal-dimethyl,Chlorthal-dimethyl,Clortal-dimetile,Chlorthal-dimethyl,PSM
2145-65,Chlorfenapyr,Chlorphénapyr,Clorfenapir,Chlorfenapyr,PSM
2148-56,Azimsulfuron,Azimsulfuron,Azimsulfuron,Azimsulfuron,PSM
2194-15,Propisochlor,Propisochlore,Propisocloro,Propisochlor,PSM
2202-88,Cyhalofop-butyl,Cyhalofop-butyl,Cialofop butile,Cyhalofop-butyl,PSM
22279-94,Benzovindiflupyr,Benzovindiflupyr,Benzovindiflupyr,Benzovindiflupyr,PSM
2232-95,HCH (Summe der Isomere ausser gamma-Isomer),HCH (somme de tous les isomères sans gamma-HCH),HCH (somma degli isomeri senza isomero gamma),HCH (sum of all isomers except gamma-HCH),PSM
2233-92,HCH (Summe aller Isomere),HCH (somme de tous les isomères),HCH (somma di tutti gli isomeri),HCH (sum of all isomers),PSM
2266-90,Oxasulfuron,Oxasulfuron,Oxasulfuron,Oxasulfuron,PSM
2275-63,"Dichlorethan, 1,2-","Dichloroéthane, 1,2-","Dicloroetano, 1,2-","Dichloroethane, 1,2-",PSM
2284-36,Fluorid,Fluorure,Fluoruri,Fluorides,PSM; Wasser
2345-47,"Dodecadienylacetat, E-7,Z-9-","Dodécadiènylacétate, E-7,Z-9-","Dodecadienilacetato, E-7,Z-9-","Dodecadienylacetate, E-7,Z-9-",PSM
238-63,Biphenyl,Biphényle,Bifenile,Biphenyl,PSM
248-33,Bromophos-ethyl,Bromophos-éthyl,Bromofos-etile,Bromophos-ethyl,PSM
250-27,Brompropylat,Bromopropylate,Bromopropilato,Bromopropylate,PSM
25247-17,"Abamectin (Summe aus Avermectin B1a, Avermectin B1b und Delta-8,9-Isomer von Avermectin B1a)","Abamectine (somme de l'avermectine B1a, l'avermectine B1b et du delta-8,9-isomère de l'avermectin B1a)","Abamectina (somma di avermectine B1a, avermectine B1b e delta-8-9-isomero dell'avermectine B1a)","Abamectin (sum of avermectin B1a, avermectin B1b and delta-8,9-isomer of avermectin B1a)",PSM
25248-14,"Ethofumesat (Summe von Ethofumesat und 2,3-dihydro-3,3-dimethyl-2-oxo-benzofuran-5-yl-Methan-sulphonat, ausgedrückt als Ethofumesat)","Éthofumesate (somme de l'éthofumesate et 2,3-dihydro-3,3-diméthyl-2-oxo-benzofuran-5-yl méthane sulphonate exprimée en éthofumesate)","Etofumesate (somma di etofumesate e 2,3-diidro-3,3-dimetil-2-oxo-benzofuran-5-il metano solfonato, espressa in etofumesate)","Ethofumesate (sum of ethofumesate and 2,3-dihydro-3,3-dimethyl-2-oxo-benzofuran-5-yl methane sulphonate expressed as ethofumesate)",PSM
25249-11,"Ethylenoxid (Summe von Ethylenoxid und 2-Chlorethanol, ausgedrückt als Ethylenoxid)",Oxyde d'éthylène (somme d'oxyde d'éthylène et de 2-chloro-éthanol exprimée en oxyde d'éthylène),Ossido di etilene (somma di ossido di etilene e di 2-cloro-etanolo espressa come ossido di etilene),Ethylene oxyde (sum of ethylene oxyde and 2-chloro-ethanol expressed as ethylene oxyde),PSM
25250-08,"Formetanat (Summe aus Formetanat und seinen Salzen, ausgedrückt als Formetanat (Hydrochlorid))",Formétanate (somme de formétanate et de ses sels exprimée en (hydrochloride de) formétanate),"Formetanato (somma di formetanato e relativi sali, espresso in (cloridato di) formetanato)",Formetanate (sum of formetanate and ints salts expressed as formetanate (hydrochloride)),PSM
25251-05,"Haloxyfop (Summe aus Haloxyfop, Haloxyfop-R-methylester, Haloxyfop-R und die Konjugate von Haloxyfop-R, ausgedrückt als Haloxyfop-R)","Haloxyfop (somme de haloxyfop, haloxyfop-R, ester méthylique de haloxyfop-R et éléments combinés de haloxyfop-R, exprimés en haloxyfop-R)","Alossifop (somma di alossifop, alossifop-R, estere metilico di alossifop-R e coniugati di alossifop-R, espressi in alossfop-R)","Haloxyfop (sum of haloxyfop, haloxyfop-R methyl ester, haloxyfop-R and conjugates of haloxyfop-R, expressed as haloxyfop-R)",PSM
25252-02,Indoxacarb (Summe der Isomeren S und R),Indoxacarb (somme des isomères S et R),Indoxacarb (somma degli isomeri S e R),Indoxacarb (sum of isomers S and R),PSM
25253-96,"Ioxynil (Summe aus Ioxynil, seinen Salzen und seinen Estern, ausgedrückt als Ioxynil)","Ioxynil (somme de ioxynil, de ses sels et de ses esters, exprimés en ioxynil)","Ioxynil (somma di ioxynil, i suoi sali e i suoi esteri, espressi come ioxynil)","Ioxynil (sum of ioxynil, its salts and its esters, expressed as ioxynil)",PSM
25254-93,"Mepanipyrim (Summe aus Mepanipyrim und seinem Metaboliten (2-Anilino-4-(2-hydroxypropyl)-6-methylpyrimidin), ausgedrückt als Mepanipyrim)","Mépanipyrim (somme de mépanipyrim et son métabolite (2-anilino-4-(2-hydroxy-propyl)-6-méthyl-pyrimidine), exprimée en mépanipyrim)","Mepanipirim (somma di mepanipirim e il relativo metabolita (2-anilino-4-(2-idrossipropil)-6-metilpirimidina), espressa in mepanipirim)","Mepanipyrim (sum of mepanipyrim and its metabolite (2-anilino-4-(2-hydroxypropyl)-6-methylpyrimidine), expressed as mepanipyrim)",PSM
25255-90,"Milbemectin (Summe Milbemycin-A4 und 8,9Z-Milbemycin-A4)","Milbémectine (somme de Milbemycin-A4 et 8,9Z-Milbemycin-A4)","Milbemectin (somma di Milbemycin-A4 e 8,9Z-Milbemycin-A4)","Milbemectin (sum of Milbemycin-A4 and 8,9Z-Milbemycin-A4)",PSM
25256-87,"Propamocarb (Summe aus Propamocarb und seinen Salzen, ausgedrückt als Propamocarb)","Propamocarbe (somme du propamocarbe et de ses sels, exprimée en propamocarbe)","Propamocarb (somma di propamocarb e dei relativi sali, espressa in propamocarb)","Propamocarb (sum of propamocarb and its salts, expressed as propamocarb)",PSM
25257-84,"Spirotetramat (Summe aus Spirotetramat und BYI08330-enol, ausgedrückt als Spirotetramat)","Spirotetramat (somme de spirotetramat et BYI08330-enol, exprimée en spirotetramat)","Spirotetramat (somma di spirotetramat e BYI08330-enol, espressa in spirotetramat)","Spirotetramat (sum of spirotetramat and BYI08330-enol, expressed as spirotetramat)",PSM
25258-81,"Bifenazat (Summe aus Bifenazat und Bifenazat-Diazin, ausgedrückt als Bifenazat)","Bifénazate (somme de bifénazate et de bifénazate-diazène, exprimée en bifénazate)"," Bifenazato (somma di bifenazato e di bifenazato-diazene, espressa in bifenazato)", Bifenazate (sum of bifenazate plus bifenazate-diazene expressed as bifenazate),PSM
25267-54,"Bromoxynil und seine Salze, ausgedrückt als Bromoxynil","Bromoxynil et ses sels, exprimés en bromoxynil",Bromoxynil e relativi sali espressi come bromoxynil,Bromoxynil and its salts expressed as bromoxynil,PSM
25268-51,Cinidon-ethyl (Summe aus Cinidon-ethyl und seinem E-Isomer),Cinidon-éthyl (somme de cinidon-éthyl et de son isomère E),Cinidon-etile (somma di cinidon-etile e del relativo E-isomero),Cinidon-ethyl (sum of cinidon ethyl and its E-isomer),PSM
25269-48,Cyflufenamid (Summe von Cyflufenamid (Z-Isomer) und seinem E-Isomer),Cyflufénamid (somme du cyflufénamid (isomère Z) et de son isomère E),Ciflufenamid (somma di ciflufenamid (isomero Z) e del relativo isomero E),Cyflufenamid: sum of cyflufenamid (Z-isomer) and its E-isomer,PSM
25270-45,"2,4-D (Summe aus 2,4-D, ihren Salzen, ihren Estern und ihren Konjugaten, ausgedrückt als 2,4-D)","2,4-D (somme de 2,4-D, de ses sels, de ses esters et de ses composés conjugués, exprimée en 2,4-D)","2,4-D (somma di 2,4-D, i suoi sali, gli esteri e i coniugati, espressa come 2,4-D)","2,4-D (sum of 2,4-D, its salts, its esters and its conjugates, expressed as 2,4-D)",PSM
25271-42,"2,4-DB (Summe aus 2,4-DB, seinen Salzen, seinen Estern und seinen Konjugaten, ausgedrückt als 2,4-DB)","2,4-DB (somme de 2,4-DB, ses sels, ses esters et ses conjugués, exprimé en 2,4-DB)","2,4-DB (somma del 2,4-DB, dei suoi sali, dei suoi esteri e dei suoi coniugati, espressi come 2,4-DB)","2,4-DB (sum of 2,4-DB, its salts, its esters and its conjugates, expressed as 2,4-DB)",PSM
25272-39,"Dichlorprop (Summe aus Dichlorprop (einschliesslich Dichlorprop-P), seinen Salzen, Estern und Konjugaten, ausgedrückt als Dichlorprop","Dichlorprop (somme du dichlorprop (y compris le dichlorprop-P) et de ses sels, esters et conjugués, exprimée en dichlorprop)","Diclorprop (somma di diclorprop (incluso diclorprop-P) e dei suoi sali, esteri e coniugati, espressa in diclorprop)","Dichlorprop (Sum of dichlorprop (including dichlorprop-P), its salts, esters and conjugates, expressed as dichlorprop)",PSM
25273-36,"Fenchlorphos (Summe aus Fenchlorphos und Fenchlorphos-oxon, ausgedrückt als Fenchlorphos)",Fenchlorphos (somme du fenchlorphos et du fenchlorphos-oxon exprimée en fenchlorphos),"Fenclorfos (somma di fenclorfos e fenclorfosoxon, espressa in fenclorfos)",Fenchlorphos (sum of fenchlorphos and fenchlorphos oxon expressed as fenchlorphos),PSM
25275-30,"Flufenacet (Summe aller Verbindungen, die den N-Fluorophenyl-N-isopropyl-Anteil enthalten, ausgedrückt als Flufenacet-Analogon)",Flufénacet (somme de tous les composés contenant la fraction N-fluorophényl-N-isopropyl exprimée en équivalent flufénacet),"Flufenacet (somma di tutti i composti contenenti la frazione N fluorofenil-N-isopropile, espressa in flufenacet)",Flufenacet (sum of all compounds containing the N fluorophenyl-N-isopropyl moiety expressed as flufenacet equivalent),PSM
25276-27,"Fluroxypyr (Summe aus Fluroxypyr, seinen Salzen, seinen Estern und seinen Konjugaten, ausgedrückt als Fluroxypyr)","Fluroxypyr (somme du fluroxypyr et de ses sels, esters et conjugués, exprimée en fluroxypyr)","Flurossipir (somma di flurossipir, i suoi sali, gli esteri e i coniugati, espressa come flurossipir)","Fluroxypyr (sum of fluroxypyr, its salts, its esters, and its conjugates, expressed as fluroxypyr)",PSM
25277-24,"8-Hydroxychinolin (Summe aus 8-Hydroxychinolin und seinen Salzen, ausgedrückt als 8-Hydroxychinolin)","8-hydroxyquinoline (somme de 8-hydroxyquinoline et de ses sels, exprimée en tant que 8-hydroxyquinoline)","8-idrossichinolina (somma di 8-idrossichinolina e dei relativi sali, espressi come 8-idrossichinolina)","8-hydroxyquinoline (sum of 8-hydroxyquinoline and its salts, expressed as 8-hydroxyquinoline)",PSM
25278-21,"Imazamox (Summe aus Imazamox und seinen Salzen, ausgedrückt als Imazamox)","Imazamox (Somme de l'imazamox et de ses sels, exprimée en imazamox)","Imazamox (Somma di imazamox e suoi sali, espressa come imazamox)","Imazamox (Sum of imazamox and its salts, expressed as imazamox)",PSM
25279-18,"Isoxaflutol (Summe aus Isoxaflutol und seinem Diketonitril-metaboliten, ausgedrückt als Isoxaflutol)","Isoxaflutole (somme de l'isoxaflutole et de son métabolite dicétonitrile, exprimée en isoxaflutole)","Isoxaflutole (somma di isoxaflutole e del relativo metabolita dichetonitrile, espressa in isoxaflutole)","Isoxaflutole (sum of isoxaflutole and its diketonitrile-metabolite, expressed as isoxaflutole)",PSM
25280-15,"Meptyldinocap (Summe von 2,4-DNOPC und 2,4-DNOP, ausgedrückt als Meptyldinocap)","Meptyldinocap (somme de 2,4 DNOPC et 2,4 DNOP, exprimée en meptyldinocap)"," Meptildinocap (somma di 2,4 DNOPC e 2,4 DNOP espressa in meptildinocap)","Meptyldinocap (sum of 2,4 DNOPC and 2,4 DNOP expressed as meptyldinocap)",PSM
25281-12,"Oxydemeton-methyl (Summe aus Oxydemeton-methyl und Demeton-S-methylsulfon, ausgedrückt als Oxydemeton-methyl)","Oxydéméton-méthyl (somme des résidus de l´oxydéméton-méthyl et du déméton-S-méthylsulfone, exprimée en oxydéméton-méthyl)",Ossidemeton-metile (somma di ossidemeton-metile e demeton-S-metilsolfone espressa in ossidemeton-metile),Oxydemeton-methyl (sum of oxydemeton-methyl and demeton-S-methylsulfone expressed as oxydemeton-methyl),PSM
25282-09,"Parathion-methyl (Summe aus Parathion-methyl und Paraoxon-methyl, ausgedrückt als Parathion-methyl)","Parathion-méthyle (somme des résidus de parathion-méthyle et de paraoxon, exprimée en parathion-méthyle)","Paration metile (somma di paration metile e paraoxon metile, espressa in paration metile)",Parathion-methyl (sum of Parathion-methyl and paraoxon-methyl expressed as Parathion-methyl),PSM
25283-06,"Pyraflufen-ethyl (Summe aus Pyraflufen-ethyl und Pyraflufen, ausgedrückt als Pyraflufen-ethyl)","Pyraflufen-éthyle (Somme du pyraflufen-éthyle et du pyraflufen, exprimée en pyraflufen-éthyle)","Piraflufen-etile (somma di piraflufen-etile e piraflufen, espressa in piraflufen-etile)","Pyraflufen-ethyl (Sum of pyraflufen-ethyl and pyraflufen, expressed as pyraflufen-ethyl)",PSM
25284-03,"Saflufenacil (Summe aus Saflufenacil, M800H11 und M800H35, ausgedrückt als Saflufenacil)","Saflufénacil (somme du saflufénacil, du M800H11 et du M800H35, exprimée en saflufénacil)","Saflufenacil (somma di saflufenacil, M800H11 e M800H35, espressa in saflufenacil)","Saflufenacil (sum of saflufenacil, M800H11 and M800H35, expressed as saflufenacil)",PSM
25285-00,"Tolylfluanid (Summe aus Tolylfluanid und Dimethylaminosulfotoluidid, ausgedrückt als Tolylfluanid)","Tolylfluanide (somme du tolylfluanide et du diméthylaminosulfotoluidide, exprimée en tolylfluanide)","Tolilfluanide (somma di tolilfluanide e dimetilamminosolfotoluidide, espressa in tolilfluanide)",Tolylfluanid (Sum of tolylfluanid and dimethylaminosulfotoluidide expressed as tolylfluanid),PSM
25286-94,"Trinexapac (Summe von Trinexapac (-säure) und seinen Salzen, ausgedrückt als Trinexapac)","Trinexapac (somme du trinexapac (acide) et de ses sels, exprimée en trinexapac)","Trinexapac (somma di trinexapac (acido) e dei suoi sali, espressa in trinexapac)","Trinexapac (sum of trinexapac (acid) and its salts, expressed as trinexapac)",PSM
25287-91,"Halauxifen-methyl (Summe aus Halauxifen-methyl und Halauxifen, ausgedrückt als Halauxifen-methyl)","Halauxifène-méthyl (somme du halauxifène-méthyl et de halauxifène, exprimée en halauxifène-méthyl)","Halauxifen-methyl (somma di halauxifen-methyl e halauxifen, espresso in halauxifen-methyl)","Halauxifen-methyl (sum of halauxifen-methyl and halauxifen, expressed as halauxifen-methyl)",PSM
25288-88,"Metobromuron (Summe aus Metobromuron und 4-Bromophenylurea, ausgedrückt als Metobromuron)","Metobromuron (somme de metobromuron et 4-bromophenylurea, exprimée en metobromuron)","Metobromuron (somma di metobromuron e 4-bromophenylurea, espressa in metobromuron)","Metobromuron (sum of metobromuron and 4-bromophenylurea, expressed as metobromuron)",PSM
25289-85,Fluazifop-P-butyl (Fluazifopsäure (frei oder konjugiert)),Fluazifop-P-butyl (fluazifop acide (libre et combiné)),Fluazifop-p-butile (fluazifop acido (libero e coniugato)),Fluazifop-P-butyl (fluazifop acid (free and conjugate)),PSM
25290-82,"Methiocarb (Summe von Methiocarb sowie Methiocarbsulfoxid und -sulfon, ausgedrückt als Methiocarb)","Méthiocarbe (somme du méthiocarbe, de son sulfoxide et de sa sulfone, exprimée en méthiocarbe)","Metiocarb (somma del metiocarb e del metiocarb solfossido e solfone, espressa in metiocarb)","Methiocarb (sum of methiocarb and methiocarb sulfoxide and sulfone, expressed as methiocarb)",PSM
260-94,Bupirimat,Bupirimate,Bupirimate,Bupirimate,PSM
261-91,Buprofezin,Buprofézine,Buprofezin,Buprofezin,PSM
266-76,Butralin,Butraline,Butraline,Butralin,PSM
269-67,Butylat,Butylate,Butilato,Butylate,PSM
282-28,Captafol,Captafol,Captafol,Captafol,PSM
283-25,Captan,Captane,Captano,Captan,PSM
284-22,Carbaryl,Carbaryl,Carbaril,Carbaryl,PSM
289-07,Chlorthiamid,Chlorthiamide,Clortiamid,Chlorthiamid,PSM
29-11,Amidosulfuron,Amidosulfuron,Amidosulfuron,Amidosulfuron,PSM
295-86,Chlozolinate,Chlozolinate,Clozolinate,Chlozolinate,PSM
304-59,Clofentezin,Clofentezine,Clofentezine,Clofentezine,PSM
305-56,Clomazon,Clomazone,Clomazone,Clomazone,PSM
336-60,Lambda-Cyhalothrin,Lambda-Cyhalothrine,Lambda-Cialotrina,Lambda-cyhalothrin,PSM
337-57,Cyhexatin,Cyhexatin,Ciexatin,Cyhexatin,PSM
339-51,Cymoxanil,Cymoxanil,Cimoxanil,Cymoxanil,PSM
340-48,Cypermethrin,Cyperméthrine,Cipermetrina,Cypermethrin,PSM
342-42,Cyproconazol,Cyproconazole,Ciproconazolo,Cyproconazole,PSM
345-33,Cyromazin,Cyromazine,Ciromazina,Cyromazine,PSM
